bayesian_uncertainty_weight,k,avg_ndcg_at_k,std_ndcg_at_k,avg_precision_at_k,std_precision_at_k,avg_mrr_at_k,std_mrr_at_k,avg_relevant_hits_at_k,avg_strong_hits_at_k,avg_test_relevant,avg_test_strong_relevant,username,score_count,n_runs,clip_predictions
9,5,0.2199315732818777,0.17124614279996522,0.276,0.17929153506357892,0.3983333333333334,0.307359231144433,1.38,1.12,48.0,17.9,Ebelha,191,100,False
8,5,0.21001482060486037,0.1685253991912431,0.268,0.18250778314661245,0.37416666666666665,0.29332620706066664,1.34,1.08,48.0,17.9,Ebelha,191,100,False
7,5,0.2009435575082184,0.16809914587549984,0.26,0.183126605208947,0.3665,0.2993023594242157,1.3,1.01,48.0,17.9,Ebelha,191,100,False
6,5,0.1960791038957029,0.16798397106850324,0.256,0.18219758394654853,0.36266666666666664,0.2996548706868869,1.28,0.98,48.0,17.9,Ebelha,191,100,False
3,5,0.19509087696005223,0.1748920867319009,0.242,0.19341690983494958,0.4438333333333333,0.37494971604508454,1.21,0.85,48.0,17.9,Ebelha,191,100,False
5,5,0.19236076717380474,0.1726492737555249,0.25,0.18504708655481247,0.37549999999999994,0.3143183796265242,1.25,0.93,48.0,17.9,Ebelha,191,100,False
0,5,0.10304583634788578,0.11720042730047618,0.158,0.16647261430376867,0.18166666666666667,0.17710573734290921,0.79,0.58,48.0,17.9,Ebelha,191,100,False
-1,5,0.055358315470975514,0.09751909753776489,0.08800000000000001,0.1539250768813493,0.0965,0.15471081962951946,0.44,0.31,48.0,17.9,Ebelha,191,100,False
-2,5,0.01662182067246928,0.07120351980115652,0.024,0.10742157110838556,0.02583333333333333,0.10573814617041266,0.12,0.08,48.0,17.9,Ebelha,191,100,False
-3,5,0.008037016459090234,0.04593514277754633,0.012000000000000002,0.06857864319910612,0.015,0.08572330399888266,0.06,0.03,48.0,17.9,Ebelha,191,100,False
-4,5,0.0069848549508251855,0.04018626928764524,0.008,0.048575672507912435,0.015,0.08572330399888266,0.04,0.03,48.0,17.9,Ebelha,191,100,False
